grid_row,grid_col,probability,hour
6604.0,257.0,6.261383651046432e-07,1.0
6604.0,257.0,5.603198035638418e-07,2.0
6604.0,257.0,5.171168648637141e-07,3.0
6604.0,257.0,4.181354841798574e-07,4.0
6604.0,257.0,3.968889685515099e-07,5.0
6604.0,257.0,4.2214139046778057e-07,6.0
6604.0,257.0,5.323798748974453e-07,7.0
6604.0,257.0,7.684240998376873e-07,8.0
6604.0,257.0,9.740944277340615e-07,9.0
6604.0,257.0,1.108114811518609e-06,10.0
6604.0,257.0,1.12200871434001e-06,11.0
6604.0,257.0,1.0583198751294962e-06,12.0
6604.0,257.0,1.120284653405967e-06,13.0
6604.0,257.0,1.0895558026403852e-06,14.0
6604.0,257.0,1.0093362615328739e-06,15.0
6604.0,257.0,1.041586342534377e-06,16.0
6604.0,257.0,1.0078150312969548e-06,17.0
6604.0,257.0,1.0060402626883813e-06,18.0
6604.0,257.0,1.0217089341183556e-06,19.0
6604.0,257.0,1.0204412422550892e-06,20.0
6604.0,257.0,1.0083728157167907e-06,21.0
6604.0,257.0,8.46412503265849e-07,22.0
6604.0,257.0,7.682719768140945e-07,23.0
6604.0,258.0,2.614234160428397e-07,0.0
6604.0,258.0,2.3480188691424122e-07,1.0
6604.0,258.0,2.1011992633644067e-07,2.0
6604.0,258.0,1.939188243238928e-07,3.0
6604.0,258.0,1.5680080656744655e-07,4.0
6604.0,258.0,1.4883336320681624e-07,5.0
6604.0,258.0,1.5830302142541773e-07,6.0
6604.0,258.0,1.99642453086542e-07,7.0
6604.0,258.0,2.881590374391328e-07,8.0
6604.0,258.0,3.6528541040027313e-07,9.0
6604.0,258.0,4.1554305431947837e-07,10.0
6604.0,258.0,4.2075326787750374e-07,11.0
6604.0,258.0,3.968699531735611e-07,12.0
6604.0,258.0,4.201067450272377e-07,13.0
6604.0,258.0,4.085834259901445e-07,14.0
6604.0,258.0,3.7850109807482776e-07,15.0
6604.0,258.0,3.9059487845039137e-07,16.0
6604.0,258.0,3.779306367363581e-07,17.0
6604.0,258.0,3.77265098508143e-07,18.0
6604.0,258.0,3.8314085029438343e-07,19.0
6604.0,258.0,3.8266546584565846e-07,20.0
6604.0,258.0,3.781398058937966e-07,21.0
6604.0,258.0,3.174046887246934e-07,22.0
6604.0,258.0,2.8810199130528546e-07,23.0
6604.0,259.0,8.714113868094657e-08,0.0
6604.0,259.0,7.82672956380804e-08,1.0
6604.0,259.0,7.003997544548022e-08,2.0
6604.0,259.0,6.463960810796426e-08,3.0
6604.0,259.0,5.226693552248217e-08,4.0
6604.0,259.0,4.9611121068938737e-08,5.0
6604.0,259.0,5.276767380847257e-08,6.0
6604.0,259.0,6.654748436218066e-08,7.0
6604.0,259.0,9.605301247971091e-08,8.0
6604.0,259.0,1.217618034667577e-07,9.0
6604.0,259.0,1.3851435143982611e-07,10.0
6604.0,259.0,1.4025108929250124e-07,11.0
6604.0,259.0,1.3228998439118702e-07,12.0
6604.0,259.0,1.4003558167574588e-07,13.0
6604.0,259.0,1.3619447533004815e-07,14.0
6604.0,259.0,1.2616703269160923e-07,15.0
6604.0,259.0,1.301982928167971e-07,16.0
6604.0,259.0,1.2597687891211935e-07,17.0
6604.0,259.0,1.2575503283604766e-07,18.0
6604.0,259.0,1.2771361676479445e-07,19.0
6604.0,259.0,1.2755515528188615e-07,20.0
6604.0,259.0,1.2604660196459884e-07,21.0
6604.0,259.0,1.0580156290823113e-07,22.0
6604.0,259.0,9.603399710176181e-08,23.0
6604.0,261.0,8.714113868094657e-08,0.0
6604.0,261.0,7.82672956380804e-08,1.0
6604.0,261.0,7.003997544548022e-08,2.0
6604.0,261.0,6.463960810796426e-08,3.0
6604.0,261.0,5.226693552248217e-08,4.0
6604.0,261.0,4.9611121068938737e-08,5.0
6604.0,261.0,5.276767380847257e-08,6.0
6604.0,261.0,6.654748436218066e-08,7.0
6604.0,261.0,9.605301247971091e-08,8.0
6604.0,261.0,1.217618034667577e-07,9.0
6604.0,261.0,1.3851435143982611e-07,10.0
6604.0,261.0,1.4025108929250124e-07,11.0
6604.0,261.0,1.3228998439118702e-07,12.0
6604.0,261.0,1.4003558167574588e-07,13.0
6604.0,261.0,1.3619447533004815e-07,14.0
6604.0,261.0,1.2616703269160923e-07,15.0
6604.0,261.0,1.301982928167971e-07,16.0
6604.0,261.0,1.2597687891211935e-07,17.0
6604.0,261.0,1.2575503283604766e-07,18.0
6604.0,261.0,1.2771361676479445e-07,19.0
6604.0,261.0,1.2755515528188615e-07,20.0
6604.0,261.0,1.2604660196459884e-07,21.0
6604.0,261.0,1.0580156290823113e-07,22.0
6604.0,261.0,9.603399710176181e-08,23.0
6605.0,255.0,1.2809747386097025e-05,0.0
6605.0,255.0,1.1505292458795914e-05,1.0
6605.0,255.0,1.0295876390483888e-05,2.0
6605.0,255.0,9.502022391869175e-06,3.0
6605.0,255.0,7.683239521803608e-06,4.0
6605.0,255.0,7.2928347971327874e-06,5.0
6605.0,255.0,7.756848049844185e-06,6.0
6605.0,255.0,9.782480201238938e-06,7.0
6605.0,255.0,1.4119792834515169e-05,8.0
6605.0,255.0,1.789898510961042e-05,9.0
6605.0,255.0,2.036160966165107e-05,10.0
6605.0,255.0,2.061691012599427e-05,11.0
6605.0,255.0,1.9446627705501275e-05,12.0
6605.0,255.0,2.058523050633124e-05,13.0
6605.0,255.0,2.0020587873513766e-05,14.0
6605.0,255.0,1.854655380566349e-05,15.0
6605.0,255.0,1.9139149044066007e-05,16.0
6605.0,255.0,1.851860120007848e-05,17.0
6605.0,255.0,1.8485989826895947e-05,18.0
6605.0,255.0,1.877390166442168e-05,19.0
6605.0,255.0,1.8750607826434162e-05,20.0
6605.0,255.0,1.8528850488792964e-05,21.0
6605.0,255.0,1.5552829747507403e-05,22.0
6605.0,255.0,1.4116997573956651e-05,23.0
6605.0,256.0,1.7253945458825412e-05,0.0
6605.0,256.0,1.5496924536338114e-05,1.0
6605.0,256.0,1.386791513820347e-05,2.0
6605.0,256.0,1.2798642405375435e-05,3.0
6605.0,256.0,1.0348853233450266e-05,4.0
6605.0,256.0,9.823001971648728e-06,5.0
6605.0,256.0,1.0447999414076354e-05,6.0
6605.0,256.0,1.3176401903710238e-05,7.0
6605.0,256.0,1.9018496470980548e-05,8.0
6605.0,256.0,2.410883708641522e-05,9.0
6605.0,256.0,2.742584158508238e-05,10.0
6605.0,256.0,2.7769715679912012e-05,11.0
6605.0,256.0,2.6193416909451984e-05,12.0
6605.0,256.0,2.772704517179446e-05,13.0
6605.0,256.0,2.6966506115346395e-05,14.0
6605.0,256.0,2.498107247293572e-05,15.0
6605.0,256.0,2.577926197772283e-05,16.0
6605.0,256.0,2.494342202459673e-05,17.0
6605.0,256.0,2.489949650153454e-05,18.0
6605.0,256.0,2.528729611942636e-05,19.0
6605.0,256.0,2.525592074581052e-05,20.0
6605.0,256.0,2.4957227188987666e-05,21.0
6605.0,256.0,2.0948709455827328e-05,22.0
6605.0,256.0,1.9014731426146627e-05,23.0
6605.0,257.0,8.97553728413467e-06,0.0
6605.0,257.0,8.061531450719742e-06,1.0
6605.0,257.0,7.21411747088219e-06,2.0
6605.0,257.0,6.657879635118221e-06,3.0
6605.0,257.0,5.3834943588139685e-06,4.0
6605.0,257.0,5.109945470099081e-06,5.0
6605.0,257.0,5.435070402270963e-06,6.0
6605.0,257.0,6.8543908893024495e-06,7.0
6605.0,257.0,9.893460285407108e-06,8.0
6605.0,257.0,1.2541465757072093e-05,9.0
6605.0,257.0,1.4266978198297595e-05,10.0
6605.0,257.0,1.4445862197123076e-05,11.0
6605.0,257.0,1.3625868392287972e-05,12.0
6605.0,257.0,1.4423664912597284e-05,13.0
6605.0,257.0,1.402803095899054e-05,14.0
6605.0,257.0,1.2995204367231658e-05,15.0
6605.0,257.0,1.3410424160125878e-05,16.0
6605.0,257.0,1.2975618527944207e-05,17.0
6605.0,257.0,1.2952768382108829e-05,18.0
6605.0,257.0,1.3154502526769686e-05,19.0
6605.0,257.0,1.3138180994030134e-05,20.0
6605.0,257.0,1.2982800002349592e-05,21.0
6605.0,257.0,1.0897560979544373e-05,22.0
6605.0,257.0,9.891501701478351e-06,23.0
6605.0,258.0,5.925597430301055e-06,0.0
6605.0,258.0,5.3221761033864925e-06,1.0
6605.0,258.0,4.762718330289993e-06,2.0
6605.0,258.0,4.395493351339114e-06,3.0
6605.0,258.0,3.5541516155268017e-06,4.0
6605.0,258.0,3.3735562326859487e-06,5.0
6605.0,258.0,3.5882018189741296e-06,6.0
6605.0,258.0,4.525228936625756e-06,7.0
6605.0,258.0,6.531604848616693e-06,8.0
6605.0,258.0,8.279802635734897e-06,9.0
6605.0,258.0,9.418975897902913e-06,10.0
6605.0,258.0,9.537074071884753e-06,11.0
6605.0,258.0,8.995718938595691e-06,12.0
6605.0,258.0,9.5224195539454e-06,13.0
6605.0,258.0,9.261224322438098e-06,14.0
6605.0,258.0,8.579358223024634e-06,15.0
6605.0,258.0,8.853483911537257e-06,16.0
6605.0,258.0,8.566427766019328e-06,17.0
6605.0,258.0,8.551342232846463e-06,18.0
6605.0,258.0,8.68452594000117e-06,19.0
6605.0,258.0,8.673750559163411e-06,20.0
6605.0,258.0,8.571168933587932e-06,21.0
6605.0,258.0,7.194506277755696e-06,22.0
6605.0,258.0,6.5303118029161544e-06,23.0
6605.0,259.0,5.228468320856794e-07,0.0
6605.0,259.0,4.6960377382848245e-07,1.0
6605.0,259.0,4.2023985267288133e-07,2.0
6605.0,259.0,3.878376486477856e-07,3.0
6605.0,259.0,3.136016131348931e-07,4.0
6605.0,259.0,2.9766672641363247e-07,5.0
6605.0,259.0,3.1660604285083545e-07,6.0
6605.0,259.0,3.99284906173084e-07,7.0
6605.0,259.0,5.763180748782656e-07,8.0
6605.0,259.0,7.305708208005463e-07,9.0
6605.0,259.0,8.310861086389567e-07,10.0
6605.0,259.0,8.415065357550075e-07,11.0
6605.0,259.0,7.937399063471222e-07,12.0
6605.0,259.0,8.402134900544754e-07,13.0
6605.0,259.0,8.17166851980289e-07,14.0
6605.0,259.0,7.570021961496555e-07,15.0
6605.0,259.0,7.811897569007827e-07,16.0
6605.0,259.0,7.558612734727162e-07,17.0
6605.0,259.0,7.54530197016286e-07,18.0
6605.0,259.0,7.662817005887669e-07,19.0
6605.0,259.0,7.653309316913169e-07,20.0
6605.0,259.0,7.562796117875932e-07,21.0
6605.0,259.0,6.348093774493868e-07,22.0
6605.0,259.0,5.762039826105709e-07,23.0
6605.0,260.0,2.614234160428397e-07,0.0
6605.0,260.0,2.3480188691424122e-07,1.0
6605.0,260.0,2.1011992633644067e-07,2.0
6605.0,260.0,1.939188243238928e-07,3.0
6605.0,260.0,1.5680080656744655e-07,4.0
6605.0,260.0,1.4883336320681624e-07,5.0
6605.0,260.0,1.5830302142541773e-07,6.0
6605.0,260.0,1.99642453086542e-07,7.0
6605.0,260.0,2.881590374391328e-07,8.0
6605.0,260.0,3.6528541040027313e-07,9.0
6605.0,260.0,4.1554305431947837e-07,10.0
6605.0,260.0,4.2075326787750374e-07,11.0
6605.0,260.0,3.968699531735611e-07,12.0
6605.0,260.0,4.201067450272377e-07,13.0
6605.0,260.0,4.085834259901445e-07,14.0
6605.0,260.0,3.7850109807482776e-07,15.0
6605.0,260.0,3.9059487845039137e-07,16.0
6605.0,260.0,3.779306367363581e-07,17.0
6605.0,260.0,3.77265098508143e-07,18.0
6605.0,260.0,3.8314085029438343e-07,19.0
6605.0,260.0,3.8266546584565846e-07,20.0
6605.0,260.0,3.781398058937966e-07,21.0
6605.0,260.0,3.174046887246934e-07,22.0
6605.0,260.0,2.8810199130528546e-07,23.0
6605.0,261.0,8.714113868094657e-08,0.0
6605.0,261.0,7.82672956380804e-08,1.0
6605.0,261.0,7.003997544548022e-08,2.0
6605.0,261.0,6.463960810796426e-08,3.0
6605.0,261.0,5.226693552248217e-08,4.0
6605.0,261.0,4.9611121068938737e-08,5.0
6605.0,261.0,5.276767380847257e-08,6.0
6605.0,261.0,6.654748436218066e-08,7.0
6605.0,261.0,9.605301247971091e-08,8.0
6605.0,261.0,1.217618034667577e-07,9.0
6605.0,261.0,1.3851435143982611e-07,10.0
6605.0,261.0,1.4025108929250124e-07,11.0
6605.0,261.0,1.3228998439118702e-07,12.0
6605.0,261.0,1.4003558167574588e-07,13.0
6605.0,261.0,1.3619447533004815e-07,14.0
6605.0,261.0,1.2616703269160923e-07,15.0
6605.0,261.0,1.301982928167971e-07,16.0
6605.0,261.0,1.2597687891211935e-07,17.0
6605.0,261.0,1.2575503283604766e-07,18.0
6605.0,261.0,1.2771361676479445e-07,19.0
6605.0,261.0,1.2755515528188615e-07,20.0
6605.0,261.0,1.2604660196459884e-07,21.0
6605.0,261.0,1.0580156290823113e-07,22.0
6605.0,261.0,9.603399710176181e-08,23.0
6606.0,255.0,1.9171050509808245e-06,0.0
6606.0,255.0,1.721880504037769e-06,1.0
6606.0,255.0,1.540879459800565e-06,2.0
6606.0,255.0,1.422071378375214e-06,3.0
6606.0,255.0,1.149872581494608e-06,4.0
6606.0,255.0,1.0914446635166524e-06,5.0
6606.0,255.0,1.1608888237863968e-06,6.0
