time_call_received,triage_impression_during_call,grid_id,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-03-20 14:15:19,A,22860006627000,108,30,2,1880,2977,1925,1208,289
2019-03-20 14:16:27,A,22630006652000,82,30,41,494,2433,207,1286,598
2019-03-20 14:18:38,H,22470006651000,252,30,2,399,367,399,674,90
2019-03-20 14:20:15,A,22640006648000,96,30,20,514,1865,613,1743,1462
2019-03-20 14:22:13,A,22870006689000,57,30,64,516,2814,0,0,930
2019-03-20 14:22:31,H,22620006649000,63,30,6,822,2476,0,0,1481
2019-03-20 14:23:03,V1,22620006649000,43,30,259,1234,630,498,925,1277
2019-03-20 14:25:04,A,22650006642000,154,30,51,157,2406,1147,1789,1402
2019-03-20 14:25:37,H,22680006649000,11,30,6,1059,1128,904,777,1361
2019-03-20 14:27:36,H,22470006655000,265,30,10,995,5006,0,0,1732
2019-03-20 14:31:13,V1,22620006653000,68,30,27,789,513,221,357,615
2019-03-20 14:31:16,V1,22700006664000,53,30,80,2390,852,2483,618,2825
2019-03-20 14:38:52,V1,22780006652000,27,30,184,678,2435,742,1083,4672
2019-03-20 14:44:45,A,22750006651000,170,30,4,1176,548,287,2513,2413
2019-03-20 14:46:10,H,22460006642000,284,30,269,296,1479,762,980,1537
2019-03-20 14:48:20,V1,22660006631000,204,30,22,882,702,966,1659,289
2019-03-20 14:53:02,H,22580006655000,129,30,1,702,1212,676,885,504
2019-03-20 14:57:22,A,22710006652000,75,30,55,724,1408,784,1587,1660
2019-03-20 15:00:10,H,23070006648000,13,30,132,620,397,2294,829,4727
2019-03-20 15:04:05,H,22570006654000,112,30,156,486,1669,0,0,821
2019-03-20 15:06:36,H,22680006650000,652,30,117,391,334,842,590,1033
2019-03-20 15:08:05,A,22550006648000,9,30,5,623,1318,306,1169,1446
2019-03-20 15:16:18,H,22630006649000,51,30,5,215,1099,513,824,664
2019-03-20 15:17:02,V1,22690006653000,89,30,1160,362,682,1129,645,1254
2019-03-20 15:23:33,A,22550006650000,94,30,127,328,921,482,961,875
2019-03-20 15:28:42,H,22620006649000,4,30,2,60,1866,331,1238,664
2019-03-20 15:30:36,A,22620006648000,35,30,103,166,1876,467,1495,664
2019-03-20 15:45:03,A,22660006648000,310,30,0,294,2679,0,0,588
2019-03-20 15:46:56,H,22600006652000,218,30,104,341,4491,0,0,547
2019-03-20 15:48:28,H,22620006653000,51,30,0,147,2623,147,793,120
2019-03-20 15:53:52,H,22400006639000,106,30,3,688,997,1325,894,1145
2019-03-20 15:58:08,H,22620006649000,28,30,119,60,431,331,700,664
2019-03-20 15:58:50,A,22560006642000,119,30,17,1649,743,2121,1336,1540
2019-03-20 16:06:36,H,22650006647000,137,30,102,191,1281,620,2056,1121
2019-03-20 16:07:03,H,22870006673000,125,30,118,332,4558,0,0,532
2019-03-20 16:08:43,H,22490006648000,34,30,7,287,1884,287,494,120
2019-03-20 16:14:07,H,22660006653000,73,30,83,374,2044,581,828,1299
2019-03-20 16:14:36,H,22870006673000,45,30,7,1106,2150,1775,3792,781
2019-03-20 16:16:12,H,22450006640000,84,30,186,349,1893,951,856,1366
2019-03-20 16:16:47,H,22620006653000,126,30,20,526,174,147,1718,633
2019-03-20 16:18:16,A,22530006651000,150,30,78,406,1311,594,2227,776
2019-03-20 16:18:43,H,22630006637000,161,30,211,707,1116,1130,938,1985
2019-03-20 16:22:31,H,23040006669000,254,30,136,60,2265,2784,1321,4176
2019-03-20 16:29:20,H,22660006649000,197,30,175,393,1195,605,572,1121
2019-03-20 16:31:20,A,22870006682000,79,30,1,620,4358,0,0,993
2019-03-20 16:32:42,H,22610006649000,154,30,65,237,552,357,2429,531
2019-03-20 16:32:55,H,22680006649000,5,30,110,296,2131,904,602,1280
2019-03-20 16:34:47,A,22640006641000,167,30,60,304,1946,1223,3080,929
2019-03-20 16:42:36,A,22650006646000,127,30,82,60,4993,0,0,90
2019-03-20 16:43:15,A,22720006654000,56,30,0,446,756,953,1133,1467
2019-03-20 16:43:58,H,22440006639000,46,30,73,1223,1914,1080,1438,935
2019-03-20 16:48:38,H,22930006678000,84,30,238,1435,2949,2177,1551,3898
2019-03-20 16:50:39,A,22650006640000,103,30,8,60,901,1240,658,1985
2019-03-20 16:56:54,H,22540006650000,123,30,40,680,676,437,918,442
2019-03-20 16:58:16,H,22460006650000,21,30,187,410,1108,410,734,96
2019-03-20 17:01:48,H,22620006649000,123,30,82,60,624,331,407,531
2019-03-20 17:04:56,A,22780006656000,120,30,74,156,798,864,948,1210
2019-03-20 17:06:16,A,22450006638000,59,30,1,1183,4297,0,0,925
2019-03-20 17:11:22,H,22620006649000,46,30,111,60,1662,331,704,498
2019-03-20 17:16:10,H,22640006637000,100,30,148,1025,1949,981,1149,217
2019-03-20 17:19:51,H,22660006626000,63,30,8,206,504,317,1111,232
2019-03-20 17:24:24,H,22680006649000,822,30,6,387,1000,904,1103,1200
2019-03-20 17:24:45,V1,22830006631000,186,30,23,3095,631,2170,830,3140
2019-03-20 17:30:32,V1,22620006649000,30,30,130,96,1472,531,1082,498
2019-03-20 17:33:12,H,22790006653000,27,30,263,478,2068,442,918,329
2019-03-20 17:35:52,H,22880006692000,10,30,0,359,294,2695,319,247
2019-03-20 17:42:28,A,22620006625000,33,30,61,668,1080,855,483,1443
2019-03-20 17:45:20,H,22620006649000,120,30,4,60,1017,331,952,498
2019-03-20 17:47:10,H,22470006646000,230,30,68,590,2277,590,1052,84
2019-03-20 17:48:57,V1,22640006651000,27,30,280,677,1486,465,905,498
2019-03-20 17:53:29,A,22460006640000,9,30,56,366,1918,931,1044,1195
2019-03-20 17:57:36,A,22490006649000,59,30,2,317,1355,306,515,935
2019-03-20 17:59:27,H,22660006631000,917,30,0,587,720,536,282,217
2019-03-20 18:00:59,A,22620006649000,7,30,0,60,2803,331,1625,465
2019-03-20 18:02:32,H,22640006652000,131,30,119,436,673,120,706,638
2019-03-20 18:02:43,A,22620006649000,470,30,49,60,1900,331,469,498
2019-03-20 18:04:15,H,22600006650000,49,30,65,277,4924,0,0,388
2019-03-20 18:04:49,H,22640006642000,114,30,4,372,3738,0,0,522
2019-03-20 18:06:28,A,22570006650000,476,30,100,385,2223,131,1160,386
2019-03-20 18:06:37,H,22670006653000,393,30,42,466,562,647,1355,970
2019-03-20 18:11:33,H,22620006649000,257,30,147,513,321,331,847,424
